Species,Convergence_Time_min,Steady_State_Value
R4,884.884884884885,0.39991922455573503
G4,1577.5775775775778,0.15651596595966147
G4d,1973.9739739739741,308.8796822637133
G80,2042.042042042042,0.5047255758476177
G80C,2042.042042042042,0.5047250714589768
DG3_G4d,2134.1341341341345,0.6603868715208628
DG80_G4d,2134.1341341341345,0.6603868715208674
R80,2174.1741741741744,13.86858163263272
DGrep_G4d_G80d,2174.1741741741744,0.7020826829307506
DG1_G4d_G80d,2174.1741741741744,0.7020826829307495
R3,2178.1781781781783,10.566480962123848
DG80,2186.186186186186,0.08620995297829197
DG3,2186.186186186186,0.08620995297829137
G3,2242.2422422422424,42566.50666863215
DG2_G4d_G80d,2262.2622622622625,0.5319195727413369
DG2_G4d,2278.2782782782783,0.352730269319594
R2,2290.2902902902906,11.641655992820104
DG2,2298.2982982982985,0.11535015793906714
DGrep_G4d,2334.3343343343345,0.29425329030019426
DG1_G4d,2334.3343343343345,0.2942532903001938
DG3_G4d_G80d,2346.3463463463468,0.25340317550084585
DG80_G4d_G80d,2346.3463463463468,0.2534031755008476
DGrep,2350.3503503503507,0.0036640267690546614
DG1,2350.3503503503507,0.0036640267690546554
reporter_rna,2366.3663663663665,9.712226314258828
R1,2386.3863863863867,9.710621773552386
G80d,2398.3983983983985,2.03564605286289
G80Cd,2402.4024024024025,1.9847287608975979
G80G3i,2430.4304304304305,8816.908190761176
reporter,2478.478478478479,4857.122215993432
GAI,2490.4904904904906,105385613.62806909
G3i,2538.538538538539,3754.943027634316
G1,3187.1871871871876,529.588355592862
G1GAI,3199.1991991991995,4325.46973276471
G2,3207.2072072072074,883.9593554746388
G2GAE,3207.2072072072074,21595.568940713812
G2GAI,3211.2112112112113,18264.44836057903
