Species,Steady_State_Value
GAE_mM,11.1
simulation_time,4000.0
converged,True
max_rel_change,1.214455790535336e-09
R1,9.710621773552386
R2,11.641655992820104
R3,10.566480962123848
R4,0.39991922455573503
R80,13.86858163263272
reporter_rna,9.712226314258828
G1,529.588355592862
G2,883.9593554746388
G3,42566.50666863215
G3i,3754.943027634316
G4,0.15651596595966147
G4d,308.8796822637133
G80,0.5047255758476177
G80C,0.5047250714589768
G80d,2.03564605286289
G80Cd,1.9847287608975979
G80G3i,8816.908190761176
reporter,4857.122215993432
DG1,0.0036640267690546554
DG2,0.11535015793906714
DG3,0.08620995297829137
DGrep,0.0036640267690546614
DG80,0.08620995297829197
DG1_G4d,0.2942532903001938
DG2_G4d,0.352730269319594
DG3_G4d,0.6603868715208628
DGrep_G4d,0.29425329030019426
DG80_G4d,0.6603868715208674
DG1_G4d_G80d,0.7020826829307495
DG2_G4d_G80d,0.5319195727413369
DG3_G4d_G80d,0.25340317550084585
DGrep_G4d_G80d,0.7020826829307506
DG80_G4d_G80d,0.2534031755008476
GAI,105385613.62806909
GAI_mM,4.900431033705212
G1GAI,4325.46973276471
G2GAI,18264.44836057903
G2GAE,21595.568940713812
G1_total,4855.058088357572
G2_total,40743.97665676748
G3_total,63955.26607778882
G4_total,617.9158804933862
G80_total,17642.86658179718
G80_nuclear,4.576017681573397
G80_cytoplasmic,17638.290564115607
